Ave Lat	Max Lat	Min Lat	Cycle
64	64	64	64
64	64	64	64
64	64	64	65
64	64	64	65
64	64	64	66
64	64	64	67
64	64	64	67
64	64	64	68
64	64	64	71
64	64	64	76
74.04	79	64	80
76.05	79	66	80
76.22	79	64	81
75.55	79	65	81
75.25	79	64	82
75.82	79	66	82
76.39	79	64	83
76.61	79	68	84
76.08	79	64	86
75.31	79	64	91
83.22	94	64	96
88.06	94	76	96
88.05	94	65	97
87.2	94	69	97
86.15	94	64	98
87.71	94	67	98
88.54	94	78	99
88.86	94	78	100
88.57	94	64	102
87.22	94	64	105
91.95	108	69	112
99.38	109	84	112
100.1	109	74	113
99.97	108	76	113
98.77	108	79	113
99.08	108	80	114
100.72	109	79	115
101.08	109	64	116
100.8	109	82	117
98.94	108	78	120
101.18	123	77	128
110.92	123	93	128
111.87	124	89	128
112.3	122	90	129
110.88	121	88	129
111.24	123	85	130
112.17	122	85	131
113	123	79	132
113.02	123	95	133
111.2	123	76	135
111.22	123	90	141
122.53	137	98	144
123.49	139	101	144
124.24	137	94	145
123.63	136	98	145
122.74	137	90	146
123.19	138	97	147
125.53	138	101	147
124.67	135	91	148
124.04	138	98	150
122.41	138	86	155
130.93	151	112	160
136.52	150	111	160
135.83	154	106	161
136.05	151	111	161
134.77	150	105	162
135.05	149	99	162
137.87	152	110	163
137.29	151	103	164
135.31	150	112	166
134.86	149	101	169
139.54	165	108	176
147.17	163	122	176
147.59	164	109	177
148.26	164	127	177
148.09	162	126	177
146.12	163	113	178
148.76	166	111	179
149.55	164	117	180
148.22	164	116	181
146.74	162	116	184
148.37	180	119	192
158.69	177	133	192
160.74	179	131	192
159.33	178	113	193
160.27	176	126	193
159.05	174	134	194
158.57	181	119	195
161.67	178	132	196
161.99	178	130	197
159.17	175	128	199
157.85	179	126	206
170.08	193	144	208
171.13	191	141	208
171.79	193	122	209
171.58	191	137	209
171.46	189	148	210
170.81	196	134	211
173.73	192	150	211
174.1	191	145	212
172.1	188	138	214
169.76	190	137	219
178.62	208	155	224
182.84	204	141	224
183.02	204	135	225
183.76	207	146	225
182.98	202	154	226
182.58	205	149	226
185.54	211	151	227
186.38	206	156	228
183.92	202	153	230
182.96	201	148	233
186.43	222	152	240
194.3	215	151	240
194.54	218	150	241
195.39	222	167	241
196.06	215	161	241
194.26	218	145	242
196.57	225	165	243
198.5	221	161	244
196.49	216	163	245
195.28	215	156	248
195.73	235	164	256
205.43	230	166	256
207.65	233	176	256
206.58	237	158	257
207.95	230	175	257
207.39	233	178	258
206.99	239	158	259
209.39	236	171	260
209.89	233	170	261
206.74	228	170	263
206.4	232	174	271
216.92	250	172	272
219.53	245	185	272
217.59	252	171	273
220.09	245	190	273
218.84	238	189	274
220.2	250	171	275
221.46	251	190	275
221.83	247	184	276
219.13	241	182	279
218.79	243	180	283
226.6	265	178	288
230.53	260	187	288
230.35	260	183	289
232.02	267	196	289
231.21	253	201	290
231.98	262	184	290
233.52	257	201	291
234.75	262	196	292
232.06	256	195	294
230.26	254	193	298
234.86	279	192	304
243.65	268	199	304
243.09	275	200	305
242.66	280	188	305
243.88	267	211	306
244.1	272	198	306
244.71	272	200	307
246.88	277	209	308
243.77	269	209	309
243.04	268	203	312
243.74	294	212	320
255.33	284	207	320
255.31	286	222	320
254.66	295	199	321
255.02	279	215	321
256.07	286	219	322
254.83	285	203	323
258.37	290	224	324
257.02	283	224	325
253.97	281	217	327
254.78	283	222	336
265.59	309	222	336
266.32	298	236	336
266.7	309	211	337
267.36	292	228	337
266.09	286	233	338
267.63	301	216	339
269.71	300	237	339
270.26	299	232	340
265.85	296	225	343
267.25	296	225	348
275.41	324	234	352
277.09	310	239	352
278.06	315	226	353
278.74	323	239	353
279.49	306	253	354
279.65	316	219	354
280.7	315	238	355
281.74	310	237	356
279.57	309	239	358
278.02	310	235	362
283.69	337	245	368
290.73	323	248	368
289.52	329	239	369
290.74	333	252	369
290.38	318	244	370
291.09	330	230	370
292.3	325	245	371
294.85	321	252	372
290.87	324	249	373
291.53	325	250	376
292.23	352	259	384
302.53	332	257	384
302.28	341	262	384
302.42	336	248	385
302.17	332	257	385
303.57	345	268	386
303.34	340	244	387
306.14	337	257	388
303.63	329	264	389
302.4	339	264	392
303.18	341	272	400
314.22	361	272	400
313.08	356	280	400
313.99	354	263	401
313.84	346	271	401
314.67	343	276	402
316.04	360	258	403
318.38	355	284	403
317.28	347	268	404
314.12	351	276	407
315.28	348	275	412
324.05	376	284	416
324.23	357	283	416
325.17	369	277	417
327.3	366	281	417
328	357	285	418
328.18	375	273	418
328.95	369	275	419
328.86	360	281	420
327.29	363	284	422
326.4	363	288	426
333.22	391	294	432
337.83	369	295	432
337.38	379	288	433
338.43	381	291	433
338.66	370	280	434
339.32	390	284	434
340.53	384	288	435
342.47	371	298	436
338.93	378	290	438
340.21	376	296	441
341.4	405	306	448
350.6	384	305	448
350.07	390	313	448
349.4	388	302	449
350.6	385	295	449
352.44	405	310	450
351.62	397	297	451
353.97	392	303	452
351.83	381	305	453
351.64	390	310	456
352.26	388	314	464
362.35	415	319	464
360.15	397	319	464
362.18	405	307	465
362.48	399	307	465
363.86	399	324	466
362.74	419	308	467
366.7	409	316	467
365.48	396	316	468
361.44	404	315	471
363.76	400	318	476
374.13	427	331	480
371.71	411	333	480
372.71	420	316	481
374.84	414	318	481
375.73	402	335	482
376.02	434	323	483
376.61	413	323	483
376.84	409	330	484
375.33	413	326	486
374.73	408	334	491
382.63	440	328	496
386.16	426	342	496
385.91	435	330	497
384.5	424	317	497
387.88	429	343	498
386.09	449	338	498
388.84	427	337	499
390.34	424	348	500
386.83	428	332	502
388.71	422	347	505
389.72	455	341	512
399.51	437	352	512
396.61	448	351	513
396.89	433	332	513
399.27	440	328	513
399.91	460	356	514
398.61	443	343	515
402.88	438	353	516
399.75	438	345	517
399.05	442	343	520
399.03	442	351	528
412.9	469	369	528
406.73	456	355	528
409.69	458	347	529
409.82	450	343	529
413	475	372	530
408.87	454	357	531
414.71	454	366	532
412.82	452	357	533
409.47	455	354	535
411.32	456	363	541
423.59	483	381	544
419.12	465	366	544
421.45	473	355	545
422.87	464	356	545
423.49	459	387	546
424.07	489	372	547
424.33	469	371	547
425.24	460	365	548
424.19	469	371	550
421.09	465	366	555
430.92	498	378	560
433.85	480	376	560
433.08	486	380	561
433.95	473	359	561
435.92	478	389	562
433.6	499	384	562
437.72	484	383	563
438.12	475	380	564
435.94	480	380	566
435.19	478	379	569
438.92	510	393	576
446.55	485	385	576
444.93	498	389	577
445.52	487	372	577
447.69	487	372	577
446.93	513	406	578
446.24	499	397	579
450.96	488	403	580
449.14	492	389	581
446.7	486	389	584
447.23	511	402	592
460.35	498	394	592
456.08	511	404	592
456.35	502	383	593
458.62	501	386	593
460.84	525	405	594
456.02	500	409	595
463.73	514	421	596
461.74	506	400	597
456.82	500	403	599
459.13	508	410	606
472.38	516	422	608
466.41	510	407	608
469.67	525	392	609
470.86	513	396	609
471.18	511	420	610
471.71	538	421	611
473.71	529	421	611
473.73	521	415	612
471.72	512	421	614
470.38	517	417	619
479.41	527	426	624
482.21	523	418	624
480.2	538	422	625
482.71	532	402	625
483.61	528	433	626
482.39	543	427	626
484.3	541	431	627
486.01	526	429	628
484.53	536	424	630
482.45	529	432	633
488.06	542	446	640
494	536	429	640
492.88	552	435	641
493.88	546	417	641
495.88	538	419	641
494.79	554	442	642
494.92	556	446	643
500.27	540	448	644
496.88	541	432	645
493.47	541	439	648
496.78	557	449	656
506.92	549	439	656
504.83	565	444	656
503.96	560	421	657
507.4	552	431	657
508.17	564	461	658
505.19	550	455	659
511.64	571	459	660
510.73	554	447	661
504.76	555	451	663
508.01	558	463	671
518.95	571	461	672
514.9	563	453	672
516.53	579	430	673
518.13	559	436	673
518.93	560	473	674
520.79	578	471	675
521.73	580	468	675
522.15	567	467	676
518.26	569	460	679
518.62	571	462	683
527.22	586	470	688
528.2	576	468	688
528.61	591	475	689
529.52	587	437	689
531.22	575	484	690
531.61	590	480	690
532.41	593	483	691
535.15	582	479	692
531.51	581	472	694
529.79	584	477	698
536.72	600	492	704
541.44	587	481	704
540.64	603	483	705
541.6	588	447	705
542.44	590	461	706
544.32	598	489	706
542.09	597	496	707
546.96	594	488	708
544.48	581	482	709
541.66	596	481	712
546.53	612	507	720
554.99	603	480	720
553.01	614	496	720
551.18	599	462	721
555.08	600	476	721
556.44	604	502	722
553.3	600	501	723
558.58	611	503	724
556.99	595	497	725
552.84	611	494	727
556.98	610	513	736
566.39	620	493	736
563.78	613	510	736
565.2	629	476	737
565.8	615	491	737
567.12	606	517	738
567.75	615	499	739
569.46	625	524	739
570.21	617	514	740
565.65	626	504	743
568.09	622	514	748
576.88	635	504	752
574.75	619	520	752
577.51	644	518	753
577.54	620	483	753
580.2	626	531	754
579.97	625	510	754
578.96	636	528	755
582.05	630	523	756
580.62	640	518	758
577.88	630	528	762
586.49	648	536	768
588.91	633	507	768
588.59	654	521	769
589.85	630	497	769
589.78	641	517	770
591.42	638	525	770
589.26	651	542	771
596.38	639	528	772
591.35	639	537	773
590.79	642	530	776
594.01	663	550	784
603.19	654	519	784
600.74	667	544	784
600.13	654	512	785
602.62	656	528	785
603.19	651	539	786
601.51	666	550	787
605.62	652	542	788
604.95	654	546	789
601.5	644	540	792
605.21	667	564	800
615.81	674	531	800
610.53	663	554	800
613.46	682	522	801
613.05	667	543	801
615.16	653	550	802
615.07	666	550	803
616.78	680	563	803
617.86	663	547	804
613.58	659	551	807
617.12	673	555	812
625.77	689	546	816
621.7	672	557	816
624.62	684	537	817
626.57	682	558	817
627.36	668	563	818
627.54	680	560	818
627.77	691	570	819
629.45	677	561	820
627.66	674	566	822
626.08	684	564	826
636	704	587	832
636.34	688	555	832
637.49	699	568	833
636.43	680	552	833
639.28	687	573	834
639.2	695	566	834
637.75	703	584	835
643.97	690	575	836
639.8	690	580	838
638.92	697	578	841
642.84	710	597	848
651.95	705	568	848
648.83	705	580	848
646.86	705	566	849
651.1	702	584	849
651.51	704	575	850
650.23	715	596	851
654.59	705	582	852
652.29	703	590	853
649.81	695	593	856
653.7	712	611	864
664.17	722	580	864
656.87	717	591	864
661.34	720	571	865
661.97	717	597	865
664.73	714	600	866
662.47	709	590	867
665.38	729	619	867
665.52	717	597	868
660.99	709	608	871
664.98	727	608	876
675.45	734	592	880
669.58	720	606	880
672.96	735	579	881
673.29	731	611	881
674.3	720	614	882
675.79	727	596	883
675.53	743	627	883
677.5	722	610	884
675.27	723	600	886
673.97	739	622	891
684.06	748	635	896
685.43	737	598	896
686.27	750	620	897
682.65	724	593	897
687.48	737	628	898
686.16	739	611	898
686.82	758	636	899
690.14	735	615	900
688.09	732	602	902
688.67	754	619	905
688.65	756	645	912
700.42	759	613	912
696.82	756	628	913
695.66	765	608	913
